Model,Mean_Duration,Std_Duration,Mean_Confidence,Std_Confidence,Mean_Final_Success,Std_Final_Success,Max_Duration,First_Success_Episode,Num_Runs
normal,355.71,0.0,72.90574095188347,0.0,0.621,0.0,500,351.0,1
depressed_mild,135.714,0.0,56.76229771673874,0.0,0.052,0.0,500,359.0,1
