Model,Mean_Duration,Std_Duration,Mean_Confidence,Std_Confidence,Mean_Final_Success,Std_Final_Success,Max_Duration,First_Success_Episode,Num_Runs
normal,223.479,0.0,70.79085267209156,0.0,0.224,0.0,500,383.0,1
depressed_mild,138.806,0.0,57.96469792216917,0.0,0.002,0.0,500,585.0,1
