Model,Mean_Duration,Std_Duration,Mean_Confidence,Std_Confidence,Mean_Final_Success,Std_Final_Success,Max_Duration,First_Success_Episode,Num_Runs
normal,350.125,0.0,75.22630891392653,0.0,0.613,0.0,500,382.0,1
depressed_mild,119.519,0.0,56.67340588729994,0.0,0.081,0.0,500,297.0,1
