Model,Mean_Duration,Std_Duration,Mean_Confidence,Std_Confidence,Mean_Final_Success,Std_Final_Success,Max_Duration,First_Success_Episode,Num_Runs
normal,351.445,0.0,74.2611891782991,0.0,0.62,0.0,500,341.0,1
depressed_mild,98.161,0.0,60.17766799797265,0.0,0.0,0.0,462,1000.0,1
