Model,Mean_Duration,Std_Duration,Mean_Confidence,Std_Confidence,Mean_Final_Success,Std_Final_Success,Max_Duration,First_Success_Episode,Num_Runs
normal,324.661,0.0,75.24573712909167,0.0,0.528,0.0,500,409.0,1
depressed_mild,116.595,0.0,56.717547315400104,0.0,0.001,0.0,500,979.0,1
