Model,Mean_Duration,Std_Duration,Mean_Confidence,Std_Confidence,Mean_Final_Success,Std_Final_Success,Max_Duration,First_Success_Episode,Num_Runs
normal,349.945,0.0,74.87743511574821,0.0,0.617,0.0,500,353.0,1
depressed_mild,115.312,0.0,55.51468377738925,0.0,0.018,0.0,500,793.0,1
