Model,Mean_Duration,Std_Duration,Mean_Confidence,Std_Confidence,Mean_Final_Success,Std_Final_Success,Max_Duration,First_Success_Episode,Num_Runs
normal,294.423,0.0,65.51112803492403,0.0,0.497,0.0,500,453.0,1
depressed_mild,153.982,0.0,58.406478546349014,0.0,0.143,0.0,500,337.0,1
