Model,Mean_Duration,Std_Duration,Mean_Confidence,Std_Confidence,Mean_Final_Success,Std_Final_Success,Max_Duration,First_Success_Episode,Num_Runs
normal,304.692,0.0,74.83083696388992,0.0,0.506,0.0,500,342.0,1
depressed_mild,135.125,0.0,59.53096062339607,0.0,0.009,0.0,500,462.0,1
