Model,Mean_Duration,Std_Duration,Mean_Confidence,Std_Confidence,Mean_Final_Success,Std_Final_Success,Max_Duration,First_Success_Episode,Num_Runs
normal,55.709,0.0,102.33301139658151,0.0,0.0,0.0,430,1000.0,1
depressed_mild,96.015,0.0,50.68469635589194,0.0,0.041,0.0,500,658.0,1
