Model,Mean_Duration,Std_Duration,Mean_Confidence,Std_Confidence,Mean_Final_Success,Std_Final_Success,Max_Duration,First_Success_Episode,Num_Runs
normal,58.434,0.0,72.8222969241448,0.0,0.0,0.0,341,1000.0,1
depressed_mild,135.271,0.0,58.70141498791598,0.0,0.109,0.0,500,302.0,1
