Model,Mean_Duration,Std_Duration,Mean_Confidence,Std_Confidence,Mean_Final_Success,Std_Final_Success,Max_Duration,First_Success_Episode,Num_Runs
normal,353.148,0.0,75.97868651313173,0.0,0.616,0.0,500,374.0,1
depressed_mild,118.751,0.0,59.68524517269458,0.0,0.006,0.0,500,916.0,1
