Model,Mean_Duration,Std_Duration,Mean_Confidence,Std_Confidence,Mean_Final_Success,Std_Final_Success,Max_Duration,First_Success_Episode,Num_Runs
normal,362.575,0.0,76.52344057529626,0.0,0.631,0.0,500,332.0,1
depressed_mild,121.705,0.0,59.15543037936897,0.0,0.063,0.0,500,175.0,1
