Model,Mean_Duration,Std_Duration,Mean_Confidence,Std_Confidence,Mean_Final_Success,Std_Final_Success,Max_Duration,First_Success_Episode,Num_Runs
normal,208.666,0.0,79.1277843986963,0.0,0.215,0.0,500,202.0,1
depressed_mild,96.236,0.0,50.41621108346785,0.0,0.041,0.0,500,400.0,1
