Model,Mean_Duration,Std_Duration,Mean_Confidence,Std_Confidence,Mean_Final_Success,Std_Final_Success,Max_Duration,First_Success_Episode,Num_Runs
normal,249.371,0.0,72.32381836051668,0.0,0.337,0.0,500,569.0,1
depressed_mild,123.845,0.0,57.54414558109052,0.0,0.097,0.0,500,328.0,1
