Episode,Duration,Reward,Confidence,Success_Rate,Exploration_Rate,Q_Value
1,17,17.0,0.11842076392734752,0.0,0.9,0.05710064586909378
2,16,16.0,0.07855113176628947,0.0,0.882128061862406,0.008011318859644234
3,13,13.0,0.13324024069767731,0.0,0.8656508222588519,0.07033166103065014
4,25,25.0,0.09339179337024689,0.0,0.8525036068284588,0.038595511615276336
5,18,18.0,0.11044083784023921,0.0,0.8278131665252796,0.05288844679792722
6,21,21.0,0.10088166133278892,0.0,0.8105077858753587,0.04440276697278023
7,14,14.0,0.11337195762566157,0.0,0.7908041974975842,0.057443669331925254
8,31,31.0,0.1817153079375144,0.0,0.7779529008610715,0.11925729328105526
9,10,10.0,0.4273209646344185,0.0,0.7502842678131838,0.3676822781562805
10,13,13.0,0.38490233971522403,0.0,0.7415851969274123,0.33048979479532975
11,20,20.0,0.514411236345768,0.0,0.7304377557376945,0.442758622020483
12,22,22.0,0.6918249184435065,0.0,0.7136376876892869,0.6097401963038878
13,26,26.0,0.8669859721110418,0.0,0.6956363047412232,0.7702139742099322
14,11,11.0,1.199757386337627,0.0,0.6749904374156306,1.1235320622270757
15,12,12.0,1.1262190093596776,0.0,0.6664556301682341,1.0557010471820831
16,17,17.0,1.247896688825944,0.0,0.6572778015142574,1.1823798418045044
17,14,14.0,1.3372913428715296,0.0,0.6445092941013197,1.2922663688659668
18,31,31.0,1.2157749283698298,0.0,0.6341958869723264,1.1197479636438432
19,14,14.0,1.5411606516156877,0.0,0.6119912888374707,1.4596108538763863
20,11,11.0,1.548893841830167,0.0,0.6022419964004364,1.4711722243915906
21,30,30.0,1.5979358752568562,0.0,0.5947006346274709,1.4957916140556335
22,20,20.0,1.6848780751228332,0.0,0.574652610602169,1.6044119596481323
23,20,20.0,1.6724395096302032,0.0,0.5616988914918366,1.59012730717659
24,16,16.0,1.7411196306347847,0.0,0.5490650008458985,1.6607034131884575
25,12,12.0,1.9193601111570995,0.0,0.5391828517229843,1.8448005219300587
26,13,13.0,1.9528347712296705,0.0,0.5318998678813864,1.8779394810016339
27,15,15.0,2.0005364179611207,0.0,0.5241322776258299,1.9249057610829672
28,12,12.0,1.9997038145860035,0.0,0.5153251225200726,1.9186214705308278
29,12,12.0,2.0573424299558005,0.0,0.5083973339917814,1.976268619298935
30,11,11.0,2.144108219580217,0.0,0.5015726867975167,2.0635876005346123
31,13,13.0,2.2013275623321533,0.0,0.4954060551032101,2.126728525528541
32,16,16.0,2.2534390091896057,0.0,0.4882266969751494,2.187222011387348
33,11,11.0,2.300831296227195,0.0,0.47954922698264296,2.231361497532238
34,14,14.0,2.341977068356105,0.0,0.4736833454649598,2.287930829184396
35,8,8.0,2.4018233120441437,0.0,0.46633338663520035,2.333402067422867
36,23,23.0,2.400855375372845,0.0,0.46219080022240816,2.3179532755976138
37,11,11.0,2.5671368728984487,0.0,0.4505090445839937,2.48077223517678
38,8,8.0,3.0753460824489594,0.0,0.44503973290860543,2.9753160774707794
39,11,11.0,2.598889459263195,0.0,0.4411090218904805,2.522451010617343
40,8,8.0,2.678206145763397,0.0,0.43576807599000245,2.611754983663559
41,9,9.0,2.7089547316233316,0.0,0.4319296194996383,2.6422506968180337
42,16,16.0,2.6203979551792145,0.0,0.4276569898846472,2.557759568095207
43,10,10.0,2.809876799583435,0.0,0.42017888044995383,2.7473145723342896
44,12,12.0,2.7817007303237915,0.0,0.4155804445440529,2.723427971204122
45,12,12.0,2.8450154066085815,0.0,0.4101376608057418,2.7860969503720603
46,12,12.0,2.87192702293396,0.0,0.4047759095604542,2.807487368583679
47,10,10.0,2.928463912010193,0.0,0.39949398439153977,2.862195372581482
48,9,9.0,2.9274326695336237,0.0,0.3951525003912398,2.8754387431674533
49,17,17.0,3.029006986057057,0.0,0.39129129476704166,2.971733149360208
50,15,15.0,3.069380044937134,0.0,0.3841153689941288,3.0247939745585124
51,10,10.0,3.1301320791244507,0.0,0.37790907168679616,3.0789355993270875
52,10,10.0,3.2006612539291384,0.0,0.37383571977843666,3.1288455009460447
53,12,12.0,3.16706919670105,0.0,0.3698129678601414,3.100358863671621
54,13,13.0,3.2626333786891055,0.0,0.3650515730789158,3.1843784955831675
55,14,14.0,3.303162693977356,0.0,0.3599733572665639,3.219690884862627
56,10,10.0,3.3307435750961303,0.0,0.35459601251459744,3.2645150661468505
57,12,12.0,3.407244066397349,0.0,0.35081226007837296,3.3584709763526917
58,13,13.0,3.4017508580134463,0.0,0.34633374898218694,3.3639354155613828
59,10,10.0,3.444113922119141,0.0,0.34155723980590064,3.4046050548553466
60,12,12.0,3.532707929611206,0.0,0.33793545760557847,3.489422619342804
61,12,12.0,3.5109493931134543,0.0,0.3336486571223269,3.4644790291786194
62,10,10.0,3.556297755241394,0.0,0.3294256787835795,3.5160605192184446
63,13,13.0,3.6563374996185303,0.0,0.32595459725459724,3.606865589435284
64,9,9.0,3.555397775438097,0.0,0.3215065731245337,3.5131009419759116
65,12,12.0,3.7393966913223267,0.0,0.31846924120323256,3.694495697816213
66,9,9.0,3.7200785477956138,0.0,0.3144722549254789,3.6834203667110867
67,10,10.0,3.6740079641342165,0.0,0.31151361560806096,3.6387372493743895
68,14,14.0,3.861916882651193,0.0,0.30826504130141125,3.7910227945872714
69,13,13.0,3.8442901648007908,0.0,0.3037847202289642,3.7993395511920633
70,12,12.0,3.808798869450887,0.0,0.2996940452750029,3.7756206393241882
71,14,14.0,3.941948277609689,0.0,0.29597658524819304,3.912787743977138
72,12,12.0,3.9491589864095054,0.0,0.2917094414153973,3.917803963025411
